REF_AREA,TIME_PERIOD,IMF_WEO_BCA,IMF_WEO_BCA_NGDPD,IMF_WEO_GGR,IMF_WEO_GGR_NGDP,IMF_WEO_GGSB,IMF_WEO_GGSB_NPGDP,IMF_WEO_GGX,IMF_WEO_GGXCNL,IMF_WEO_GGXCNL_NGDP,IMF_WEO_GGXONLB,IMF_WEO_GGXONLB_NGDP,IMF_WEO_GGXWDG,IMF_WEO_GGXWDG_NGDP,IMF_WEO_GGXWDN,IMF_WEO_GGXWDN_NGDP,IMF_WEO_GGX_NGDP,IMF_WEO_LE,IMF_WEO_LP,IMF_WEO_LUR,IMF_WEO_NGAP_NPGDP,IMF_WEO_NGDP,IMF_WEO_NGDPD,IMF_WEO_NGDPDPC,IMF_WEO_NGDPPC,IMF_WEO_NGDPRPC,IMF_WEO_NGDPRPPPPC,IMF_WEO_NGDP_D,IMF_WEO_NGDP_FY,IMF_WEO_NGDP_R,IMF_WEO_NGDP_RPCH,IMF_WEO_NGSD_NGDP,IMF_WEO_NID_NGDP,IMF_WEO_PCPI,IMF_WEO_PCPIE,IMF_WEO_PCPIEPCH,IMF_WEO_PCPIPCH,IMF_WEO_PPPEX,IMF_WEO_PPPGDP,IMF_WEO_PPPPC,IMF_WEO_PPPSH,IMF_WEO_TMG_RPCH,IMF_WEO_TM_RPCH,IMF_WEO_TXG_RPCH,IMF_WEO_TX_RPCH,g_growth,g_growth_next,target
AUT,2013,8.359,1.943,160.976,49.698,-6.472,-1.991,167.293,-6.317,-1.95,0.768,0.237,262.404,81.011,195.669,60.408,51.648,4.105,8.477,5.35,-0.34,323.91,430.197,50747.38,38209.44,39939.1,53333.18,95.669,323.91,338.573,0.026,25.666,23.723,118.794,119.561,1.987,2.118,0.797,406.37,47936.68,0.384,-1.954,0.694,-0.804,0.641,1.943,2.474,0
AUT,2014,10.952,2.474,165.226,49.596,-2.595,-0.771,174.308,-9.081,-2.726,-2.42,-0.726,279.036,83.758,196.963,59.122,52.322,4.113,8.544,6.042,-0.96,333.146,442.699,51814.42,38992.13,39889.33,53266.72,97.751,333.146,340.812,0.661,26.006,23.532,120.535,120.526,0.807,1.465,0.799,417.06,48813.54,0.38,2.147,2.957,2.883,2.888,2.474,1.725,0
AUT,2015,6.591,1.725,172.069,49.981,0.024,0.007,175.672,-3.603,-1.046,2.528,0.734,290.567,84.401,200.298,58.18,51.027,4.148,8.63,6.15,-0.923,344.269,382.01,44267.81,39894.38,39894.38,53273.47,100.0,344.269,344.269,1.015,25.531,23.806,121.511,121.817,1.071,0.81,0.799,431.092,49955.47,0.384,4.169,3.63,3.136,3.049,1.725,2.724,0
AUT,2016,10.78,2.724,173.571,48.537,-4.27,-1.188,179.059,-5.488,-1.535,0.441,0.123,295.2,82.549,203.281,56.845,50.071,4.22,8.74,6.475,-0.496,357.608,395.728,45278.83,40917.16,40174.61,53647.68,101.848,357.608,351.118,1.989,26.981,24.256,122.692,123.748,1.585,0.972,0.777,460.236,52659.77,0.395,3.625,3.726,2.854,2.988,2.724,1.374,0
AUT,2017,5.732,1.374,179.077,48.483,-3.206,-0.87,182.091,-3.014,-0.816,2.401,0.65,290.331,78.603,206.678,55.955,49.299,4.26,8.815,5.933,0.201,369.362,417.114,47320.54,41903.19,40733.18,54393.57,102.872,369.362,359.049,2.259,26.213,24.838,125.426,126.632,2.331,2.228,0.77,479.46,54393.57,0.391,4.284,5.289,4.903,4.898,1.374,0.905,0
AUT,2018,4.117,0.905,188.506,48.928,-1.169,-0.306,187.851,0.656,0.17,5.458,1.417,285.387,74.074,195.118,50.644,48.758,4.319,8.885,5.208,0.976,385.274,455.198,51234.48,43364.29,41392.64,55274.19,104.763,385.274,367.757,2.425,26.631,25.726,128.088,128.804,1.715,2.122,0.767,502.339,56540.4,0.386,4.156,5.348,4.792,5.198,0.905,2.385,0
AUT,2019,10.603,2.385,195.563,49.242,0.88,0.223,193.309,2.254,0.568,6.66,1.677,280.54,70.639,190.271,47.909,48.674,4.355,8.859,4.808,0.705,397.147,444.645,50192.49,44830.81,42115.32,56239.23,106.448,397.147,373.091,1.451,27.734,25.349,130.003,131.157,1.827,1.495,0.766,518.179,58493.19,0.382,0.472,2.248,3.554,4.06,2.385,3.442,0
AUT,2020,14.962,3.442,185.93,48.815,-26.5,-6.814,216.367,-30.437,-7.991,-26.442,-6.942,315.981,82.959,225.711,59.259,56.806,4.297,8.901,5.475,-2.066,380.889,434.701,48837.35,42791.66,39135.39,52259.94,109.343,380.889,348.344,-6.633,29.069,25.627,131.811,132.485,1.012,1.391,0.777,490.198,55072.19,0.367,-7.152,-10.02,-7.702,-10.57,3.442,1.646,0
AUT,2021,7.893,1.646,204.181,50.385,-18.736,-4.515,227.664,-23.483,-5.795,-20.002,-4.936,334.346,82.505,244.076,60.23,56.18,4.306,8.932,6.175,-2.335,405.242,479.614,53696.16,45369.63,40652.32,54285.59,111.604,405.242,363.107,4.238,29.306,27.66,135.444,137.505,3.789,2.756,0.758,534.4,59829.8,0.359,15.179,14.328,12.273,9.127,1.646,-0.291,0
BEL,1980,-4.938,-3.999,42.289,47.317,,,50.991,-8.702,-9.737,-3.523,-3.941,68.637,76.797,,,57.053,3.795,9.855,8.3,-0.318,89.375,123.478,12529.35,9068.88,21994.86,29535.85,41.232,89.375,216.762,4.444,19.837,27.394,39.609,40.893,8.755,6.656,0.842,106.133,10769.32,0.791,2.8,-1.5,-0.3,1.3,-3.999,-4.094,0
